F.year,States,Type,Freq
1991,OK,CBO,1
1991,TX,CBO,2
1991,WA,CBO,1
1992,CA,CBO,1
1992,DC,CBO,1
1992,IL,CBO,1
1992,IN,CBO,1
1992,MI,CBO,1
1992,NC,CBO,3
1992,PA,CBO,1
1992,TX,CBO,1
1993,CA,CBO,2
1993,DC,CBO,1
1993,IL,CBO,1
1993,MO,CBO,1
1993,NM,CBO,1
1993,PA,CBO,1
1993,RI,CBO,1
1994,CA,CBO,3
1994,DC,CBO,2
1994,MA,CBO,1
1994,NC,CBO,1
1994,NY,CBO,1
1994,TX,CBO,1
1995,CA,CBO,3
1995,CT,CBO,1
1995,DC,CBO,1
1995,NC,CBO,1
1996,CA,CBO,4
1996,DC,CBO,1
1996,IL,CBO,1
1996,MD,CBO,1
1996,MO,CBO,1
1996,OR,CBO,1
1997,AK,CBO,1
1997,CA,CBO,2
1997,FL,CBO,1
1997,GA,CBO,1
1997,IA,CBO,1
1997,NM,CBO,1
1997,NY,CBO,2
1997,TX,CBO,2
1998,CA,CBO,2
1998,CO,CBO,2
1998,IL,CBO,1
1998,KY,CBO,1
1998,MO,CBO,1
1998,NC,CBO,1
1998,NY,CBO,1
1998,TX,CBO,1
1998,WA,CBO,1
1999,AL,CBO,2
1999,CO,CBO,1
1999,IN,CBO,2
1999,NC,CBO,1
1999,NM,CBO,1
1999,NY,CBO,1
1999,WI,CBO,1
2000,CA,CBO,3
2000,CT,CBO,1
2000,NC,CBO,1
2000,NJ,CBO,1
2000,NM,CBO,1
2000,OK,CBO,1
2000,OR,CBO,1
2000,TX,CBO,1
2001,CA,CBO,2
2001,DC,CBO,1
2001,GA,CBO,1
2001,IL,CBO,1
2001,IN,CBO,1
2001,MO,CBO,1
2001,NJ,CBO,1
2001,WA,CBO,1
2002,CA,CBO,2
2002,CO,CBO,1
2002,KY,CBO,1
2002,NC,CBO,1
2002,OH,CBO,1
2002,TX,CBO,2
2002,WA,CBO,1
2002,WY,CBO,1
2003,CA,CBO,1
2003,CO,CBO,2
2003,CT,CBO,1
2003,DC,CBO,1
2003,IN,CBO,2
2003,MI,CBO,1
2003,NC,CBO,1
2003,NY,CBO,2
2003,TX,CBO,1
2003,VA,CBO,1
2004,CA,CBO,3
2004,IA,CBO,1
2004,IL,CBO,1
2004,NC,CBO,1
2004,NJ,CBO,3
2004,OH,CBO,1
2004,SC,CBO,1
2004,WI,CBO,1
2005,DC,CBO,1
2005,FL,CBO,1
2005,GA,CBO,1
2005,IL,CBO,1
2005,KY,CBO,1
2005,OH,CBO,1
2005,TX,CBO,2
2005,WA,CBO,1
2006,CA,CBO,1
2006,FL,CBO,1
2006,IL,CBO,1
2006,IN,CBO,1
2006,MA,CBO,1
2006,MD,CBO,1
2006,NC,CBO,1
2006,NE,CBO,1
2006,NY,CBO,1
2006,OR,CBO,1
2006,TX,CBO,1
2007,AK,CBO,1
2007,CA,CBO,2
2007,CO,CBO,1
2007,IL,CBO,1
2007,KS,CBO,1
2007,MD,CBO,1
2007,TX,CBO,1
2008,IL,CBO,2
2008,IN,CBO,1
2008,MI,CBO,1
2008,NC,CBO,1
2008,NY,CBO,1
2008,OR,CBO,1
2009,CA,CBO,1
2009,CT,CBO,1
2009,GA,CBO,1
2009,IL,CBO,2
2009,LA,CBO,1
2009,MI,CBO,2
2009,MN,CBO,1
2009,NY,CBO,2
2009,TX,CBO,1
2010,CA,CBO,3
2010,DC,CBO,1
2010,FL,CBO,1
2010,GA,CBO,2
2010,LA,CBO,1
2010,MA,CBO,1
2010,MI,CBO,1
2010,NC,CBO,2
2010,PA,CBO,1
2010,SC,CBO,1
2010,TX,CBO,1
2010,VA,CBO,1
2010,WI,CBO,1
2011,CA,CBO,1
2011,CT,CBO,1
2011,MA,CBO,1
2011,NJ,CBO,1
2011,OH,CBO,1
2011,TX,CBO,1
2011,VA,CBO,1
2011,WA,CBO,1
2012,CA,CBO,2
2012,IL,CBO,1
2012,LA,CBO,1
2012,OR,CBO,1
2012,TX,CBO,1
2013,CA,CBO,2
2013,IA,CBO,1
2013,NY,CBO,1
2013,PA,CBO,1
2013,TX,CBO,1
2014,AZ,CBO,1
2014,CA,CBO,5
2014,FL,CBO,2
2014,IL,CBO,1
2014,IN,CBO,1
2014,MD,CBO,1
2014,NC,CBO,1
2014,NJ,CBO,2
2014,TN,CBO,1
2014,TX,CBO,1
2014,UT,CBO,3
2015,CA,CBO,4
2015,LA,CBO,1
2015,MI,CBO,1
2015,NJ,CBO,1
2015,NV,CBO,1
2015,NY,CBO,3
2015,TX,CBO,3
2016,GA,CBO,1
2016,MN,CBO,1
2016,NC,CBO,1
2016,NE,CBO,1
2016,NV,CBO,1
2016,NY,CBO,1
2016,OH,CBO,1
1929,DC,Advocacy,1
1930,NA,Advocacy,0
1931,NA,Advocacy,0
1932,NA,Advocacy,0
1933,NA,Advocacy,0
1934,NA,Advocacy,0
1935,NA,Advocacy,0
1936,NA,Advocacy,0
1937,NA,Advocacy,0
1938,NA,Advocacy,0
1939,NA,Advocacy,0
1940,NA,Advocacy,0
1941,NA,Advocacy,0
1942,NA,Advocacy,0
1943,NA,Advocacy,0
1944,NA,Advocacy,0
1945,NA,Advocacy,0
1946,NA,Advocacy,0
1947,NA,Advocacy,0
1948,NA,Advocacy,0
1949,NA,Advocacy,0
1950,NA,Advocacy,0
1951,NA,Advocacy,0
1952,NA,Advocacy,0
1953,NA,Advocacy,0
1954,NA,Advocacy,0
1955,NA,Advocacy,0
1956,NA,Advocacy,0
1957,NA,Advocacy,0
1958,NA,Advocacy,0
1959,NA,Advocacy,0
1960,NA,Advocacy,0
1961,NA,Advocacy,0
1962,NA,Advocacy,0
1963,NA,Advocacy,0
1964,CO,Advocacy,1
1965,NA,Advocacy,0
1966,CA,Advocacy,1
1967,FL,Advocacy,1
1968,DC,Advocacy,1
1969,NA,Advocacy,0
1970,CA,Advocacy,1
1971,CA,Advocacy,1
1972,DC,Advocacy,1
1972,NY,Advocacy,1
1972,WA,Advocacy,1
1973,NA,Advocacy,0
1974,DC,Advocacy,1
1974,FL,Advocacy,1
1975,CA,Advocacy,1
1976,CA,Advocacy,1
1976,DC,Advocacy,1
1977,NA,Advocacy,0
1978,NA,Advocacy,0
1979,NA,Advocacy,0
1980,NA,Advocacy,0
1981,NA,Advocacy,0
1982,CA,Advocacy,1
1982,NY,Advocacy,2
1983,CA,Advocacy,1
1983,DC,Advocacy,1
1984,NA,Advocacy,0
1985,CA,Advocacy,1
1985,TX,Advocacy,1
1986,CA,Advocacy,1
1986,DC,Advocacy,1
1987,CA,Advocacy,1
1988,IL,Advocacy,1
1988,MN,Advocacy,1
1989,CA,Advocacy,1
1989,KY,Advocacy,1
1990,OH,Advocacy,1
1991,NJ,Advocacy,1
1991,VA,Advocacy,1
1992,UT,Advocacy,1
1993,NA,Advocacy,0
1994,NA,Advocacy,0
1995,NY,Advocacy,1
1995,TX,Advocacy,1
1996,CA,Advocacy,1
1996,DC,Advocacy,1
1996,NY,Advocacy,1
1996,VA,Advocacy,1
1997,AZ,Advocacy,1
1997,CA,Advocacy,1
1997,TX,Advocacy,1
1998,TX,Advocacy,1
1999,WA,Advocacy,1
2000,CA,Advocacy,1
2000,DC,Advocacy,1
2000,IL,Advocacy,1
2000,NY,Advocacy,1
2001,FL,Advocacy,1
2002,CT,Advocacy,1
2002,IL,Advocacy,1
2002,TX,Advocacy,1
2003,NA,Advocacy,0
2004,DC,Advocacy,1
2004,IL,Advocacy,1
2004,TX,Advocacy,1
2005,CA,Advocacy,1
2005,CO,Advocacy,1
2005,NC,Advocacy,1
2005,TX,Advocacy,1
2006,CO,Advocacy,1
2007,CA,Advocacy,2
2007,CO,Advocacy,1
2007,DC,Advocacy,1
2008,CA,Advocacy,2
2008,DC,Advocacy,1
2009,CO,Advocacy,1
2010,NM,Advocacy,1
2011,CO,Advocacy,1
2011,TX,Advocacy,1
2012,WA,Advocacy,1
2013,NA,Advocacy,0
2014,CA,Advocacy,3
2015,DC,Advocacy,1
2015,NJ,Advocacy,1
2015,TN,Advocacy,1
2015,TX,Advocacy,1
2016,IL,Advocacy,1
1948,TX,Hybrid,1
1949,NA,Hybrid,0
1950,NA,Hybrid,0
1951,NA,Hybrid,0
1952,NA,Hybrid,0
1953,NA,Hybrid,0
1954,NA,Hybrid,0
1955,NA,Hybrid,0
1956,NA,Hybrid,0
1957,NA,Hybrid,0
1958,NA,Hybrid,0
1959,NA,Hybrid,0
1960,NA,Hybrid,0
1961,NA,Hybrid,0
1962,NA,Hybrid,0
1963,NA,Hybrid,0
1964,CA,Hybrid,1
1965,NA,Hybrid,0
1966,NA,Hybrid,0
1967,NA,Hybrid,0
1968,CA,Hybrid,1
1969,CA,Hybrid,2
1970,NA,Hybrid,0
1971,NA,Hybrid,0
1972,NA,Hybrid,0
1973,CA,Hybrid,1
1974,CA,Hybrid,1
1975,NA,Hybrid,0
1976,NA,Hybrid,0
1977,NA,Hybrid,0
1978,NA,Hybrid,0
1979,NA,Hybrid,0
1980,CO,Hybrid,1
1980,DC,Hybrid,1
1981,MN,Hybrid,1
1982,NY,Hybrid,1
1983,CA,Hybrid,1
1984,NA,Hybrid,0
1985,NA,Hybrid,0
1986,TX,Hybrid,1
1987,NA,Hybrid,0
1988,CA,Hybrid,1
1989,CA,Hybrid,1
1990,GA,Hybrid,1
1990,NY,Hybrid,2
1991,NY,Hybrid,1
1992,CA,Hybrid,1
1992,MD,Hybrid,1
1993,CA,Hybrid,2
1994,NY,Hybrid,1
1995,TN,Hybrid,1
1996,NA,Hybrid,0
1997,FL,Hybrid,1
1997,MI,Hybrid,1
1997,WI,Hybrid,1
1998,OR,Hybrid,1
1999,AK,Hybrid,1
1999,FL,Hybrid,1
2000,FL,Hybrid,1
2000,OH,Hybrid,1
2000,TX,Hybrid,2
2001,GA,Hybrid,1
2001,IA,Hybrid,1
2001,IN,Hybrid,1
2001,NC,Hybrid,1
2002,CA,Hybrid,1
2003,RI,Hybrid,1
2004,IN,Hybrid,1
2004,OR,Hybrid,1
2005,CA,Hybrid,1
2005,GA,Hybrid,1
2005,TX,Hybrid,1
2006,NA,Hybrid,0
2007,NA,Hybrid,0
2008,NA,Hybrid,0
2009,NA,Hybrid,0
2010,NA,Hybrid,0
2011,NA,Hybrid,0
2012,NA,Hybrid,0
2013,NA,Hybrid,0
2014,NJ,Hybrid,1
2014,NM,Hybrid,1
2014,VA,Hybrid,1
2015,NA,Hybrid,0
2016,AR,Hybrid,1
2016,FL,Hybrid,1
2016,NV,Hybrid,1
